date,pnl_pts,ret_pct_of_base
2015-01-09,0.1,1e-06
2015-01-12,34.1,0.000341
2015-01-13,-40.0,-0.0004
2015-01-14,-0.6,-6e-06
2015-01-15,40.0,0.0004
2015-01-19,-6.7,-6.7e-05
2015-01-20,106.9,0.001069
2015-01-21,11.9,0.000119
2015-01-22,21.4,0.000214
2015-01-23,-31.7,-0.000317
2015-01-27,50.4,0.000504
2015-01-28,-2.2,-2.2000000000000003e-05
2015-01-29,53.8,0.000538
2015-01-30,-56.0,-0.00056
2015-02-02,-59.4,-0.000594
2015-02-03,3.3999999999999986,3.3999999999999986e-05
2015-02-04,45.0,0.00045
2015-02-05,-80.0,-0.0008
2015-02-06,41.8,0.00041799999999999997
2015-02-09,66.7,0.0006670000000000001
2015-02-10,0.0,0.0
2015-02-11,15.1,0.00015099999999999998
2015-02-12,44.3,0.000443
2015-02-13,50.7,0.0005070000000000001
2015-02-16,-60.9,-0.000609
2015-02-18,33.0,0.00033
2015-02-19,-11.100000000000001,-0.00011100000000000001
2015-02-20,-18.2,-0.000182
2015-02-23,40.0,0.0004
2015-02-24,10.6,0.000106
2015-02-25,-37.5,-0.000375
2015-02-26,65.6,0.0006559999999999999
2015-02-27,46.4,0.000464
2015-02-28,-120.0,-0.0012
2015-03-02,24.6,0.000246
2015-03-03,56.2,0.000562
2015-03-04,-80.0,-0.0008
2015-03-05,0.0,0.0
2015-03-09,80.0,0.0008
2015-03-10,26.9,0.000269
2015-03-11,22.2,0.000222
2015-03-12,12.5,0.000125
2015-03-13,30.5,0.000305
2015-03-16,-3.5,-3.5e-05
2015-03-17,-80.0,-0.0008
2015-03-18,-40.0,-0.0004
2015-03-19,-40.0,-0.0004
2015-03-20,22.8,0.000228
2015-03-23,37.8,0.00037799999999999997
2015-03-24,-57.8,-0.000578
2015-03-25,36.4,0.000364
2015-03-26,94.5,0.000945
2015-03-27,29.6,0.00029600000000000004
2015-03-30,57.3,0.0005729999999999999
2015-03-31,-40.0,-0.0004
2015-04-01,87.5,0.000875
2015-04-06,71.2,0.0007120000000000001
2015-04-07,-34.9,-0.00034899999999999997
2015-04-08,5.4,5.4000000000000005e-05
2015-04-09,46.0,0.00046
2015-04-10,-3.5,-3.5e-05
2015-04-13,43.6,0.000436
2015-04-15,-40.0,-0.0004
2015-04-16,37.9,0.000379
2015-04-17,70.7,0.0007070000000000001
2015-04-20,131.0,0.00131
2015-04-21,80.0,0.0008
2015-04-22,40.0,0.0004
2015-04-23,30.2,0.00030199999999999997
2015-04-24,64.6,0.000646
