date,timeframe,side,entry_time,entry,exit_time,exit,exit_reason,pnl_pts,vix_at_entry,vix_bucket
2015-01-09,15,SHORT,2015-01-09 09:46:00,8280.35,2015-01-09 15:29:00,8280.25,EOD,0.1,15.65,>15
2015-01-12,15,LONG,2015-01-12 12:05:00,8292.45,2015-01-12 15:29:00,8326.55,EOD,34.1,17.26,>15
2015-01-13,15,LONG,2015-01-13 09:32:00,8331.45,2015-01-13 14:41:00,8291.45,SL,-40.0,16.42,>15
2015-01-14,15,SHORT,2015-01-14 11:55:00,8287.15,2015-01-14 15:29:00,8287.75,EOD,-0.6,17.13,>15
2015-01-15,15,LONG,2015-01-15 09:58:00,8421.95,2015-01-15 14:32:00,8501.95,TP,80.0,16.12,>15
2015-01-15,15,LONG,2015-01-15 14:46:00,8519.3,2015-01-15 15:22:00,8479.3,SL,-40.0,16.07,>15
2015-01-19,15,LONG,2015-01-19 09:46:00,8557.0,2015-01-19 15:29:00,8550.3,EOD,-6.7,18.15,>15
2015-01-20,15,LONG,2015-01-20 09:31:00,8584.8,2015-01-20 14:22:00,8664.8,TP,80.0,17.21,>15
2015-01-20,15,LONG,2015-01-20 14:34:00,8664.4,2015-01-20 15:29:00,8691.25,EOD,26.9,16.88,>15
2015-01-21,15,LONG,2015-01-21 09:31:00,8716.15,2015-01-21 15:29:00,8728.05,EOD,11.9,17.57,>15
2015-01-22,15,LONG,2015-01-22 09:31:00,8740.8,2015-01-22 15:29:00,8762.2,EOD,21.4,17.9,>15
2015-01-23,15,LONG,2015-01-23 09:31:00,8854.9,2015-01-23 10:25:00,8814.9,SL,-40.0,17.54,>15
2015-01-23,15,LONG,2015-01-23 10:35:00,8815.25,2015-01-23 15:29:00,8823.55,EOD,8.3,18.52,>15
2015-01-27,15,LONG,2015-01-27 09:31:00,8853.8,2015-01-27 15:29:00,8904.2,EOD,50.4,18.25,>15
2015-01-28,15,LONG,2015-01-28 09:31:00,8908.95,2015-01-28 15:29:00,8906.8,EOD,-2.2,18.75,>15
2015-01-29,15,LONG,2015-01-29 13:47:00,8896.4,2015-01-29 15:29:00,8950.2,EOD,53.8,20.13,>15
2015-01-30,15,LONG,2015-01-30 09:32:00,8953.0,2015-01-30 10:35:00,8913.0,SL,-40.0,20.24,>15
2015-01-30,15,LONG,2015-01-30 10:48:00,8919.5,2015-01-30 11:10:00,8879.5,SL,-40.0,20.79,>15
2015-01-30,15,SHORT,2015-01-30 12:38:00,8845.45,2015-01-30 15:29:00,8821.45,EOD,24.0,20.85,>15
2015-02-02,15,SHORT,2015-02-02 09:32:00,8786.85,2015-02-02 13:38:00,8826.85,SL,-40.0,21.16,>15
2015-02-02,15,SHORT,2015-02-02 14:47:00,8778.75,2015-02-02 15:29:00,8798.15,EOD,-19.4,20.68,>15
2015-02-03,15,SHORT,2015-02-03 10:31:00,8792.95,2015-02-03 11:14:00,8832.95,SL,-40.0,20.37,>15
2015-02-03,15,SHORT,2015-02-03 11:47:00,8790.05,2015-02-03 15:29:00,8746.65,EOD,43.4,20.12,>15
2015-02-04,15,SHORT,2015-02-04 09:52:00,8758.95,2015-02-04 15:29:00,8713.95,EOD,45.0,19.8,>15
